timestamp_ms,elapsed_s,raw_line,state,pot,vbus,duty,step,tp,zc_count,synced,missed,bemf_a,bemf_b,bemf_c,dc1,io1,io2,io3,ic_accepted,ic_lcout_accepted,ic_false,ic_captures,ic_chatter,tp_hr,zc_interval,zc_interval_hr,prev_zc_interval,ic_phase,ic_filter_level,forced_steps,erpm,duty_pct_x10,ia_raw,ib_raw,ibus_raw,ia_mA,ib_mA,ibus_mA,fault_code,d_ic_accepted,d_ic_lcout_accepted,d_ic_false,d_ic_captures,d_ic_chatter,ic_accept_rate,ic_false_rate
1773758079925,3.553,S:OL_RAMP P:0 V:14224 D:592 St:4 Tp:332 ZC:11 SYN Miss:0 B:111 DC1:592 IO:3000/0000/3400 FP:0/BK:0/0 Cyc:0 TpHR:0 ZcI:193 ZcIHR:0 PZcI:217 Ph:2 FL:8 Frc:2 eRPM:558 D%:64 Ia:-3744 Ib:3312 Ibus:3728,OL_RAMP,0,14224,592,4,332,11,1,0,1,1,1,592,12288,0,13312,0,0,0,0,,0,193,0,217,,8,2,558,64,-3744,3312,3728,-3927,3474,3911,,0,0,0,0,0,,
1773758080023,3.651,S:OL_RAMP P:0 V:14144 D:886 St:1 Tp:209 ZC:25 SYN Miss:0 B:101 DC1:886 IO:3400/0000/3000 FP:0/BK:0/0 Cyc:0 TpHR:0 ZcI:150 ZcIHR:0 PZcI:103 Ph:2 FL:8 Frc:1 eRPM:819 D%:93 Ia:-192 Ib:-7312 Ibus:7792,OL_RAMP,0,14144,886,1,209,25,1,0,1,0,1,886,13312,0,12288,0,0,0,0,,0,150,0,103,,8,1,819,93,-192,-7312,7792,-201,-7670,8174,,0,0,0,0,0,,
1773758080123,3.751,S:OL_RAMP P:0 V:14128 D:1278 St:2 Tp:197 ZC:47 SYN Miss:0 B:101 DC1:1278 IO:3400/3000/0000 FP:0/BK:0/0 Cyc:0 TpHR:0 ZcI:127 ZcIHR:0 PZcI:56 Ph:2 FL:8 Frc:0 eRPM:995 D%:132 Ia:-3728 Ib:-144 Ibus:7888,OL_RAMP,0,14128,1278,2,197,47,1,0,1,0,1,1278,13312,12288,0,0,0,0,0,,0,127,0,56,,8,0,995,132,-3728,-144,7888,-3911,-151,8275,,0,0,0,0,0,,
1773758080222,3.85,S:OL_RAMP P:0 V:14080 D:1666 St:5 Tp:156 ZC:66 SYN Miss:0 B:001 DC1:1666 IO:3000/3400/0000 FP:0/BK:0/0 Cyc:0 TpHR:0 ZcI:112 ZcIHR:0 PZcI:87 Ph:2 FL:8 Frc:0 eRPM:1307 D%:166 Ia:8032 Ib:-7824 Ibus:7552,OL_RAMP,0,14080,1666,5,156,66,1,0,0,0,1,1666,12288,13312,0,0,0,0,0,,0,112,0,87,,8,0,1307,166,8032,-7824,7552,8426,-8207,7922,,0,0,0,0,0,,
1773758080322,3.95,S:OL_RAMP P:0 V:14096 D:1666 St:2 Tp:149 ZC:87 SYN Miss:0 B:110 DC1:1666 IO:3400/0000/3400 FP:0/BK:0/0 Cyc:0 TpHR:0 ZcI:96 ZcIHR:0 PZcI:74 Ph:2 FL:8 Frc:0 eRPM:1515 D%:166 Ia:-7360 Ib:6864 Ibus:7152,OL_RAMP,0,14096,1666,2,149,87,1,0,1,1,0,1666,13312,0,13312,0,0,0,0,,0,96,0,74,,8,0,1515,166,-7360,6864,7152,-7721,7200,7502,,0,0,0,0,0,,
1773758080422,4.05,S:OL_RAMP P:0 V:14112 D:1666 St:4 Tp:145 ZC:113 SYN Miss:0 B:101 DC1:1666 IO:0000/3000/3400 FP:0/BK:0/0 Cyc:0 TpHR:0 ZcI:64 ZcIHR:0 PZcI:64 Ph:2 FL:8 Frc:1 eRPM:1600 D%:166 Ia:7344 Ib:-192 Ibus:2992,OL_RAMP,0,14112,1666,4,145,113,1,0,1,0,1,1666,0,12288,13312,0,0,0,0,,0,64,0,64,,8,1,1600,166,7344,-192,2992,7704,-201,3139,,0,0,0,0,0,,
1773758080521,4.149,S:OL_RAMP P:0 V:14128 D:1666 St:5 Tp:101 ZC:142 SYN Miss:0 B:011 DC1:1666 IO:3000/3400/0000 FP:0/BK:0/0 Cyc:0 TpHR:0 ZcI:56 ZcIHR:0 PZcI:73 Ph:2 FL:8 Frc:0 eRPM:1785 D%:166 Ia:-7744 Ib:-224 Ibus:7424,OL_RAMP,0,14128,1666,5,101,142,1,0,0,1,1,1666,12288,13312,0,0,0,0,0,,0,56,0,73,,8,0,1785,166,-7744,-224,7424,-8123,-235,7788,,0,0,0,0,0,,
1773758080621,4.249,S:OL_RAMP P:0 V:14128 D:1666 St:1 Tp:99 ZC:175 SYN Miss:0 B:010 DC1:1666 IO:3400/0000/3400 FP:0/BK:0/0 Cyc:0 TpHR:0 ZcI:64 ZcIHR:0 PZcI:64 Ph:2 FL:8 Frc:2 eRPM:1801 D%:166 Ia:-128 Ib:-48 Ibus:7168,OL_RAMP,0,14128,1666,1,99,175,1,0,0,1,0,1666,13312,0,13312,0,0,0,0,,0,64,0,64,,8,2,1801,166,-128,-48,7168,-134,-50,7519,,0,0,0,0,0,,
1773758080720,4.348,S:OL_RAMP P:0 V:14080 D:1666 St:5 Tp:82 ZC:214 SYN Miss:0 B:111 DC1:1666 IO:3000/3400/0000 FP:0/BK:0/0 Cyc:0 TpHR:0 ZcI:41 ZcIHR:0 PZcI:41 Ph:2 FL:8 Frc:0 eRPM:2816 D%:166 Ia:-128 Ib:7168 Ibus:5904,OL_RAMP,0,14080,1666,5,82,214,1,0,1,1,1,1666,12288,13312,0,0,0,0,0,,0,41,0,41,,8,0,2816,166,-128,7168,5904,-134,7519,6193,,0,0,0,0,0,,
1773758080820,4.448,S:OL_RAMP P:0 V:14128 D:1666 St:0 Tp:69 ZC:262 SYN Miss:0 B:110 DC1:1666 IO:3000/0000/3400 FP:0/BK:0/0 Cyc:0 TpHR:0 ZcI:32 ZcIHR:0 PZcI:32 Ph:2 FL:8 Frc:2 eRPM:3030 D%:166 Ia:-208 Ib:-7568 Ibus:5040,OL_RAMP,0,14128,1666,0,69,262,1,0,1,1,0,1666,12288,0,13312,0,0,0,0,,0,32,0,32,,8,2,3030,166,-208,-7568,5040,-218,-7939,5287,,0,0,0,0,0,,
1773758081079,4.707,S:CL P:0 V:14320 D:999 St:3 Tp:16 ZC:555 SYN Miss:0 B:111 DC1:999 IO:3000/3000/0000 FP:255/BK:0/0 Cyc:13719 TpHR:1354 ZcI:21 ZcIHR:1344 PZcI:17 Ph:2 FL:4 Frc:0 eRPM:11599 D%:99 Ia:208 Ib:-592 Ibus:1408,CL,0,14320,999,3,16,555,1,0,1,1,1,999,12288,12288,0,255,0,0,13719,,1354,21,1344,17,,4,0,11599,99,208,-592,1408,218,-621,1477,,255,0,0,13719,0,1.9,0.0
1773758081178,4.806,S:CL P:0 V:14272 D:999 St:4 Tp:18 ZC:664 SYN Miss:0 B:000 DC1:999 IO:3400/3000/3000 FP:363/BK:0/0 Cyc:20243 TpHR:1477 ZcI:23 ZcIHR:1422 PZcI:18 Ph:1 FL:4 Frc:1 eRPM:10333 D%:99 Ia:-352 Ib:528 Ibus:304,CL,0,14272,999,4,18,664,1,0,0,0,0,999,13312,12288,12288,363,0,0,20243,,1477,23,1422,18,,4,1,10333,99,-352,528,304,-369,554,319,,108,0,0,6524,0,1.7,0.0
1773758081278,4.906,S:CL P:0 V:14272 D:999 St:4 Tp:18 ZC:766 SYN Miss:0 B:001 DC1:999 IO:3400/3000/3000 FP:465/BK:0/0 Cyc:26765 TpHR:1543 ZcI:24 ZcIHR:1500 PZcI:24 Ph:2 FL:5 Frc:1 eRPM:9990 D%:99 Ia:-848 Ib:240 Ibus:272,CL,0,14272,999,4,18,766,1,0,0,0,1,999,13312,12288,12288,465,0,0,26765,,1543,24,1500,24,,5,1,9990,99,-848,240,272,-890,252,285,,102,0,0,6522,0,1.6,0.0
1773758081377,5.005,S:CL P:0 V:14240 D:999 St:1 Tp:19 ZC:864 SYN Miss:0 B:011 DC1:999 IO:0000/3000/3000 FP:564/BK:0/0 Cyc:33114 TpHR:1629 ZcI:15 ZcIHR:1187 PZcI:25 Ph:0 FL:4 Frc:0 eRPM:9964 D%:99 Ia:304 Ib:-816 Ibus:800,CL,0,14240,999,1,19,864,1,0,0,1,1,999,0,12288,12288,564,0,0,33114,,1629,15,1187,25,,4,0,9964,99,304,-816,800,319,-856,839,,99,0,0,6349,0,1.6,0.0
1773758081477,5.105,S:CL P:0 V:14256 D:999 St:3 Tp:19 ZC:962 SYN Miss:0 B:101 DC1:999 IO:0000/3400/0000 FP:661/BK:0/0 Cyc:39357 TpHR:1622 ZcI:24 ZcIHR:1297 PZcI:16 Ph:1 FL:5 Frc:1 eRPM:9562 D%:99 Ia:-128 Ib:-800 Ibus:688,CL,0,14256,999,3,19,962,1,0,1,0,1,999,0,13312,0,661,0,0,39357,,1622,24,1297,16,,5,1,9562,99,-128,-800,688,-134,-839,722,,97,0,0,6243,0,1.6,0.0
1773758081577,5.205,S:CL P:0 V:14256 D:999 St:4 Tp:19 ZC:1059 SYN Miss:0 B:100 DC1:999 IO:3000/3000/0000 FP:758/BK:0/0 Cyc:45586 TpHR:1599 ZcI:16 ZcIHR:1937 PZcI:25 Ph:1 FL:4 Frc:0 eRPM:9367 D%:99 Ia:-128 Ib:-112 Ibus:704,CL,0,14256,999,4,19,1059,1,0,1,0,0,999,12288,12288,0,758,0,0,45586,,1599,16,1937,25,,4,0,9367,99,-128,-112,704,-134,-117,738,,97,0,0,6229,0,1.6,0.0
1773758081676,5.304,S:CL P:0 V:14256 D:999 St:4 Tp:19 ZC:1155 SYN Miss:0 B:101 DC1:999 IO:3000/3000/0000 FP:854/BK:0/0 Cyc:51841 TpHR:1589 ZcI:15 ZcIHR:2172 PZcI:28 Ph:1 FL:4 Frc:1 eRPM:9458 D%:99 Ia:-144 Ib:-128 Ibus:304,CL,0,14256,999,4,19,1155,1,0,1,0,1,999,12288,12288,0,854,0,0,51841,,1589,15,2172,28,,4,1,9458,99,-144,-128,304,-151,-134,319,,96,0,0,6255,0,1.5,0.0
1773758081776,5.404,S:CL P:0 V:14256 D:999 St:4 Tp:19 ZC:1251 SYN Miss:0 B:101 DC1:999 IO:3000/3000/0000 FP:950/BK:0/0 Cyc:58062 TpHR:1611 ZcI:17 ZcIHR:2016 PZcI:26 Ph:1 FL:4 Frc:1 eRPM:9367 D%:99 Ia:-208 Ib:-128 Ibus:544,CL,0,14256,999,4,19,1251,1,0,1,0,1,999,12288,12288,0,950,0,0,58062,,1611,17,2016,26,,4,1,9367,99,-208,-128,544,-218,-134,571,,96,0,0,6221,0,1.5,0.0
1773758081876,5.504,S:CL P:0 V:14272 D:999 St:4 Tp:19 ZC:1347 SYN Miss:0 B:100 DC1:999 IO:3000/3000/0000 FP:1046/BK:0/0 Cyc:64283 TpHR:1622 ZcI:15 ZcIHR:2093 PZcI:27 Ph:0 FL:4 Frc:0 eRPM:9300 D%:99 Ia:-144 Ib:-144 Ibus:912,CL,0,14272,999,4,19,1347,1,0,1,0,0,999,12288,12288,0,1046,0,0,64283,,1622,15,2093,27,,4,0,9300,99,-144,-144,912,-151,-151,957,,96,0,0,6221,0,1.5,0.0
1773758081976,5.604,S:CL P:0 V:14256 D:999 St:3 Tp:19 ZC:1442 SYN Miss:0 B:100 DC1:999 IO:3000/3400/0000 FP:1141/BK:0/0 Cyc:4931 TpHR:1595 ZcI:16 ZcIHR:1297 PZcI:16 Ph:2 FL:4 Frc:1 eRPM:9446 D%:99 Ia:-144 Ib:-896 Ibus:1120,CL,0,14256,999,3,19,1442,1,0,1,0,0,999,12288,13312,0,1141,0,0,4931,,1595,16,1297,16,,4,1,9446,99,-144,-896,1120,-151,-940,1175,,95,0,0,-59352,0,,
1773758082075,5.703,S:CL P:0 V:14256 D:999 St:3 Tp:19 ZC:1538 SYN Miss:0 B:110 DC1:999 IO:0000/3400/0000 FP:1237/BK:0/0 Cyc:11134 TpHR:1627 ZcI:26 ZcIHR:1110 PZcI:14 Ph:1 FL:5 Frc:1 eRPM:9412 D%:99 Ia:-144 Ib:-704 Ibus:560,CL,0,14256,999,3,19,1538,1,0,1,1,0,999,0,13312,0,1237,0,0,11134,,1627,26,1110,14,,5,1,9412,99,-144,-704,560,-151,-738,587,,96,0,0,6203,0,1.5,0.0
1773758082175,5.803,S:CL P:0 V:14240 D:999 St:2 Tp:20 ZC:1634 SYN Miss:0 B:111 DC1:999 IO:0000/3400/0000 FP:1333/BK:0/0 Cyc:17320 TpHR:1650 ZcI:24 ZcIHR:1297 PZcI:24 Ph:2 FL:5 Frc:0 eRPM:9429 D%:99 Ia:336 Ib:-816 Ibus:1056,CL,0,14240,999,2,20,1634,1,0,1,1,1,999,0,13312,0,1333,0,0,17320,,1650,24,1297,24,,5,0,9429,99,336,-816,1056,352,-856,1108,,96,0,0,6186,0,1.6,0.0
1773758082274,5.902,S:CL P:0 V:14256 D:999 St:2 Tp:20 ZC:1729 SYN Miss:0 B:111 DC1:999 IO:0000/3400/3000 FP:1428/BK:0/0 Cyc:23531 TpHR:1627 ZcI:14 ZcIHR:2015 PZcI:26 Ph:1 FL:4 Frc:1 eRPM:9735 D%:99 Ia:1088 Ib:-896 Ibus:304,CL,0,14256,999,2,20,1729,1,0,1,1,1,999,0,13312,12288,1428,0,0,23531,,1627,14,2015,26,,4,1,9735,99,1088,-896,304,1141,-940,319,,95,0,0,6211,0,1.5,0.0
1773758082374,6.002,S:CL P:0 V:14240 D:999 St:1 Tp:20 ZC:1825 SYN Miss:0 B:011 DC1:999 IO:0000/3400/3000 FP:1524/BK:0/0 Cyc:29744 TpHR:1678 ZcI:15 ZcIHR:1828 PZcI:24 Ph:1 FL:4 Frc:0 eRPM:9645 D%:99 Ia:208 Ib:-592 Ibus:816,CL,0,14240,999,1,20,1825,1,0,0,1,1,999,0,13312,12288,1524,0,0,29744,,1678,15,1828,24,,4,0,9645,99,208,-592,816,218,-621,856,,96,0,0,6213,0,1.5,0.0
1773758082474,6.102,S:CL P:0 V:14240 D:999 St:1 Tp:20 ZC:1920 SYN Miss:0 B:011 DC1:999 IO:0000/3000/3000 FP:1619/BK:0/0 Cyc:35918 TpHR:1675 ZcI:14 ZcIHR:1110 PZcI:14 Ph:2 FL:4 Frc:1 eRPM:9645 D%:99 Ia:544 Ib:-160 Ibus:784,CL,0,14240,999,1,20,1920,1,0,0,1,1,999,0,12288,12288,1619,0,0,35918,,1675,14,1110,14,,4,1,9645,99,544,-160,784,571,-168,822,,95,0,0,6174,0,1.5,0.0
1773758082573,6.201,S:CL P:0 V:14256 D:999 St:0 Tp:19 ZC:2016 SYN Miss:0 B:110 DC1:999 IO:3000/0000/3400 FP:1715/BK:0/0 Cyc:42125 TpHR:1667 ZcI:24 ZcIHR:1266 PZcI:24 Ph:0 FL:5 Frc:1 eRPM:9704 D%:99 Ia:-128 Ib:-176 Ibus:32,CL,0,14256,999,0,19,2016,1,0,1,1,0,999,12288,0,13312,1715,0,0,42125,,1667,24,1266,24,,5,1,9704,99,-128,-176,32,-134,-185,34,,96,0,0,6207,0,1.5,0.0
1773758082673,6.301,S:CL P:0 V:14240 D:999 St:0 Tp:19 ZC:2111 SYN Miss:0 B:111 DC1:999 IO:3000/0000/3400 FP:1810/BK:0/0 Cyc:48283 TpHR:1615 ZcI:20 ZcIHR:1937 PZcI:25 Ph:1 FL:4 Frc:1 eRPM:9747 D%:99 Ia:-1184 Ib:240 Ibus:224,CL,0,14240,999,0,19,2111,1,0,1,1,1,999,12288,0,13312,1810,0,0,48283,,1615,20,1937,25,,4,1,9747,99,-1184,240,224,-1242,252,235,,95,0,0,6158,0,1.5,0.0
1773758082773,6.401,S:CL P:0 V:14256 D:999 St:5 Tp:19 ZC:2206 SYN Miss:0 B:011 DC1:999 IO:3400/0000/3400 FP:1906/BK:0/0 Cyc:54430 TpHR:1611 ZcI:19 ZcIHR:1485 PZcI:19 Ph:2 FL:4 Frc:1 eRPM:9615 D%:99 Ia:-528 Ib:640 Ibus:80,CL,0,14256,999,5,19,2206,1,0,0,1,1,999,13312,0,13312,1906,0,0,54430,,1611,19,1485,19,,4,1,9615,99,-528,640,80,-554,671,84,,96,0,0,6147,0,1.6,0.0
1773758082872,6.5,S:CL P:0 V:14240 D:999 St:4 Tp:19 ZC:2302 SYN Miss:0 B:101 DC1:999 IO:3400/3000/3000 FP:2001/BK:0/0 Cyc:60607 TpHR:1617 ZcI:26 ZcIHR:1422 PZcI:26 Ph:2 FL:5 Frc:1 eRPM:9510 D%:99 Ia:-1040 Ib:176 Ibus:400,CL,0,14240,999,4,19,2302,1,0,1,0,1,999,13312,12288,12288,2001,0,0,60607,,1617,26,1422,26,,5,1,9510,99,-1040,176,400,-1091,185,420,,95,0,0,6177,0,1.5,0.0
1773758082972,6.6,S:CL P:0 V:14256 D:999 St:4 Tp:19 ZC:2397 SYN Miss:0 B:101 DC1:999 IO:3400/3000/0000 FP:2097/BK:0/0 Cyc:1275 TpHR:1609 ZcI:15 ZcIHR:2172 PZcI:28 Ph:1 FL:4 Frc:1 eRPM:9585 D%:99 Ia:-160 Ib:-112 Ibus:624,CL,0,14256,999,4,19,2397,1,0,1,0,1,999,13312,12288,0,2097,0,0,1275,,1609,15,2172,28,,4,1,9585,99,-160,-112,624,-168,-117,655,,96,0,0,-59332,0,,
1773758083072,6.7,S:CL P:0 V:14256 D:999 St:3 Tp:19 ZC:2492 SYN Miss:0 B:110 DC1:999 IO:3000/3400/0000 FP:2192/BK:0/0 Cyc:7455 TpHR:1598 ZcI:16 ZcIHR:1296 PZcI:16 Ph:2 FL:4 Frc:1 eRPM:9311 D%:99 Ia:-128 Ib:-928 Ibus:1344,CL,0,14256,999,3,19,2492,1,0,1,1,0,999,12288,13312,0,2192,0,0,7455,,1598,16,1296,16,,4,1,9311,99,-128,-928,1344,-134,-973,1410,,95,0,0,6180,0,1.5,0.0
1773758083171,6.799,S:CL P:0 V:14240 D:999 St:2 Tp:20 ZC:2588 SYN Miss:0 B:101 DC1:999 IO:0000/3400/0000 FP:2287/BK:0/0 Cyc:13587 TpHR:1638 ZcI:25 ZcIHR:1109 PZcI:14 Ph:1 FL:5 Frc:1 eRPM:9429 D%:99 Ia:-160 Ib:-624 Ibus:704,CL,0,14240,999,2,20,2588,1,0,1,0,1,999,0,13312,0,2287,0,0,13587,,1638,25,1109,14,,5,1,9429,99,-160,-624,704,-168,-655,738,,95,0,0,6132,0,1.5,0.0
1773758083271,6.899,S:CL P:0 V:14256 D:999 St:2 Tp:20 ZC:2683 SYN Miss:0 B:110 DC1:999 IO:0000/3400/3000 FP:2383/BK:0/0 Cyc:19704 TpHR:1642 ZcI:15 ZcIHR:1859 PZcI:24 Ph:1 FL:4 Frc:1 eRPM:9356 D%:99 Ia:512 Ib:-576 Ibus:864,CL,0,14256,999,2,20,2683,1,0,1,1,0,999,0,13312,12288,2383,0,0,19704,,1642,15,1859,24,,4,1,9356,99,512,-576,864,537,-604,906,,96,0,0,6117,0,1.6,0.0
1773758083370,6.998,S:CL P:96 V:14224 D:999 St:2 Tp:20 ZC:2779 SYN Miss:0 B:011 DC1:999 IO:0000/3400/3000 FP:2478/BK:0/0 Cyc:25846 TpHR:1677 ZcI:14 ZcIHR:2016 PZcI:26 Ph:1 FL:4 Frc:1 eRPM:9723 D%:99 Ia:384 Ib:-912 Ibus:704,CL,96,14224,999,2,20,2779,1,0,0,1,1,999,0,13312,12288,2478,0,0,25846,,1677,14,2016,26,,4,1,9723,99,384,-912,704,403,-957,738,,95,0,0,6142,0,1.5,0.0
1773758083470,7.098,S:CL P:112 V:14224 D:999 St:1 Tp:20 ZC:2874 SYN Miss:0 B:011 DC1:999 IO:0000/3000/3000 FP:2574/BK:0/0 Cyc:32036 TpHR:1678 ZcI:15 ZcIHR:1172 PZcI:24 Ph:0 FL:4 Frc:0 eRPM:9741 D%:99 Ia:432 Ib:-176 Ibus:1040,CL,112,14224,999,1,20,2874,1,0,0,1,1,999,0,12288,12288,2574,0,0,32036,,1678,15,1172,24,,4,0,9741,99,432,-176,1040,453,-185,1091,,96,0,0,6190,0,1.6,0.0
1773758083570,7.198,S:CL P:208 V:14240 D:999 St:1 Tp:20 ZC:2970 SYN Miss:0 B:111 DC1:999 IO:3000/3000/3000 FP:2669/BK:0/0 Cyc:38223 TpHR:1645 ZcI:25 ZcIHR:1109 PZcI:14 Ph:2 FL:4 Frc:1 eRPM:9651 D%:99 Ia:672 Ib:-160 Ibus:768,CL,208,14240,999,1,20,2970,1,0,1,1,1,999,12288,12288,12288,2669,0,0,38223,,1645,25,1109,14,,4,1,9651,99,672,-160,768,705,-168,806,,95,0,0,6187,0,1.5,0.0
1773758083670,7.298,S:CL P:1328 V:14240 D:999 St:0 Tp:19 ZC:3066 SYN Miss:0 B:110 DC1:999 IO:3000/3000/3400 FP:2765/BK:0/0 Cyc:44390 TpHR:1666 ZcI:24 ZcIHR:1265 PZcI:24 Ph:0 FL:5 Frc:1 eRPM:9723 D%:99 Ia:-112 Ib:-192 Ibus:32,CL,1328,14240,999,0,19,3066,1,0,1,1,0,999,12288,12288,13312,2765,0,0,44390,,1666,24,1265,24,,5,1,9723,99,-112,-192,32,-117,-201,34,,96,0,0,6167,0,1.6,0.0
1773758083770,7.398,S:CL P:2592 V:14240 D:1080 St:0 Tp:19 ZC:3161 SYN Miss:0 B:000 DC1:1089 IO:3000/0000/3400 FP:2861/BK:0/0 Cyc:50523 TpHR:1641 ZcI:25 ZcIHR:1109 PZcI:25 Ph:0 FL:5 Frc:1 eRPM:9889 D%:111 Ia:-112 Ib:-144 Ibus:1088,CL,2592,14240,1080,0,19,3161,1,0,0,0,0,1089,12288,0,13312,2861,0,0,50523,,1641,25,1109,25,,5,1,9889,111,-112,-144,1088,-117,-151,1141,,96,0,0,6133,0,1.6,0.0
1773758083869,7.497,S:CL P:3632 V:14208 D:1230 St:4 Tp:18 ZC:3261 SYN Miss:0 B:101 DC1:1230 IO:3400/3000/0000 FP:2961/BK:0/0 Cyc:56889 TpHR:1487 ZcI:24 ZcIHR:1406 PZcI:24 Ph:2 FL:5 Frc:1 eRPM:10375 D%:123 Ia:-2320 Ib:1568 Ibus:704,CL,3632,14208,1230,4,18,3261,1,0,1,0,1,1230,13312,12288,0,2961,0,0,56889,,1487,24,1406,24,,5,1,10375,123,-2320,1568,704,-2434,1645,738,,100,0,0,6366,0,1.6,0.0
1773758083969,7.597,S:CL P:3664 V:14224 D:1232 St:2 Tp:17 ZC:3368 SYN Miss:0 B:100 DC1:1230 IO:0000/3400/0000 FP:3067/BK:0/0 Cyc:63245 TpHR:1411 ZcI:14 ZcIHR:1703 PZcI:22 Ph:1 FL:4 Frc:1 eRPM:10665 D%:123 Ia:-992 Ib:1232 Ibus:832,CL,3664,14224,1232,2,17,3368,1,0,1,0,0,1230,0,13312,0,3067,0,0,63245,,1411,14,1703,22,,4,1,10665,123,-992,1232,832,-1041,1292,873,,106,0,0,6356,0,1.7,0.0
1773758084069,7.697,S:CL P:3664 V:14240 D:1232 St:5 Tp:16 ZC:3479 SYN Miss:0 B:001 DC1:1235 IO:3000/0000/3400 FP:3179/BK:0/0 Cyc:4171 TpHR:1399 ZcI:21 ZcIHR:1031 PZcI:13 Ph:2 FL:4 Frc:1 eRPM:11281 D%:123 Ia:752 Ib:-944 Ibus:1024,CL,3664,14240,1232,5,16,3479,1,0,0,0,1,1235,12288,0,13312,3179,0,0,4171,,1399,21,1031,13,,4,1,11281,123,752,-944,1024,789,-990,1074,,112,0,0,-59074,0,,
1773758084168,7.796,S:CL P:3728 V:14224 D:1241 St:5 Tp:15 ZC:3592 SYN Miss:0 B:101 DC1:1239 IO:3400/0000/3400 FP:3293/BK:0/0 Cyc:10777 TpHR:1388 ZcI:19 ZcIHR:1110 PZcI:14 Ph:2 FL:4 Frc:0 eRPM:11669 D%:124 Ia:1056 Ib:-1264 Ibus:1008,CL,3728,14224,1241,5,15,3592,1,0,1,0,1,1239,13312,0,13312,3293,0,0,10777,,1388,19,1110,14,,4,0,11669,124,1056,-1264,1008,1108,-1326,1057,,114,0,0,6606,0,1.7,0.0
1773758084268,7.896,S:CL P:3792 V:14224 D:1253 St:1 Tp:16 ZC:3708 SYN Miss:0 B:011 DC1:1262 IO:0000/3400/3000 FP:3408/BK:0/0 Cyc:17333 TpHR:1351 ZcI:19 ZcIHR:1125 PZcI:14 Ph:2 FL:4 Frc:0 eRPM:11514 D%:129 Ia:-1280 Ib:1584 Ibus:336,CL,3792,14224,1253,1,16,3708,1,0,0,1,1,1262,0,13312,12288,3408,0,0,17333,,1351,19,1125,14,,4,0,11514,129,-1280,1584,336,-1343,1662,352,,115,0,0,6556,0,1.8,0.0
1773758084368,7.996,S:CL P:5200 V:14208 D:1450 St:0 Tp:15 ZC:3828 SYN Miss:0 B:110 DC1:1455 IO:0000/3400/3000 FP:3528/BK:0/0 Cyc:23760 TpHR:1261 ZcI:19 ZcIHR:1031 PZcI:13 Ph:2 FL:4 Frc:0 eRPM:12037 D%:146 Ia:-1376 Ib:1712 Ibus:1296,CL,5200,14208,1450,0,15,3828,1,0,1,1,0,1455,0,13312,12288,3528,0,0,23760,,1261,19,1031,13,,4,0,12037,146,-1376,1712,1296,-1443,1796,1360,,120,0,0,6427,0,1.9,0.0
1773758084467,8.095,S:CL P:5376 V:14208 D:1473 St:2 Tp:14 ZC:3955 SYN Miss:0 B:111 DC1:1475 IO:0000/3400/0000 FP:3656/BK:0/0 Cyc:30576 TpHR:1183 ZcI:18 ZcIHR:1172 PZcI:15 Ph:0 FL:4 Frc:1 eRPM:13400 D%:147 Ia:-144 Ib:-144 Ibus:1392,CL,5376,14208,1473,2,14,3955,1,0,1,1,1,1475,0,13312,0,3656,0,0,30576,,1183,18,1172,15,,4,1,13400,147,-144,-144,1392,-151,-151,1460,,128,0,0,6816,0,1.9,0.0
1773758084567,8.195,S:CL P:5376 V:14192 D:1475 St:2 Tp:13 ZC:4088 SYN Miss:0 B:100 DC1:1478 IO:3000/3000/0000 FP:3789/BK:0/0 Cyc:37252 TpHR:1165 ZcI:13 ZcIHR:1360 PZcI:18 Ph:2 FL:4 Frc:1 eRPM:13815 D%:147 Ia:960 Ib:-1072 Ibus:1312,CL,5376,14192,1475,2,13,4088,1,0,1,0,0,1478,12288,12288,0,3789,0,0,37252,,1165,13,1360,18,,4,1,13815,147,960,-1072,1312,1007,-1125,1376,,133,0,0,6676,0,2.0,0.0
1773758084667,8.295,S:CL P:5456 V:14208 D:1484 St:5 Tp:13 ZC:4223 SYN Miss:0 B:010 DC1:1487 IO:3000/3000/3000 FP:3924/BK:0/0 Cyc:43839 TpHR:1149 ZcI:17 ZcIHR:890 PZcI:11 Ph:0 FL:4 Frc:1 eRPM:13435 D%:148 Ia:-1968 Ib:1408 Ibus:784,CL,5456,14208,1484,5,13,4223,1,0,0,1,0,1487,12288,12288,12288,3924,0,0,43839,,1149,17,890,11,,4,1,13435,148,-1968,1408,784,-2064,1477,822,,135,0,0,6587,0,2.0,0.0
1773758084766,8.394,S:CL P:5440 V:14208 D:1487 St:4 Tp:13 ZC:4360 SYN Miss:0 B:101 DC1:1489 IO:3000/0000/3400 FP:4061/BK:0/0 Cyc:50371 TpHR:1149 ZcI:12 ZcIHR:1172 PZcI:15 Ph:1 FL:3 Frc:1 eRPM:13694 D%:148 Ia:-1328 Ib:736 Ibus:704,CL,5440,14208,1487,4,13,4360,1,0,1,0,1,1489,12288,0,13312,4061,0,0,50371,,1149,12,1172,15,,3,1,13694,148,-1328,736,704,-1393,772,738,,137,0,0,6532,0,2.1,0.0
